,Company,Title,link,Requirement since,location
79,Walmart,Staff Data Scientist,https://www.linkedin.com/jobs/view/staff-data-scientist-at-walmart-3772209089?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=Aw8wzjGRZQoaTlZDKIdWkA%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,"Dallas, TX"
80,Keurig Dr Pepper Inc.,Senior Data Scientist,https://www.linkedin.com/jobs/view/senior-data-scientist-at-keurig-dr-pepper-inc-3784549721?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=RL3mZjQxX1mYdFqa29yKug%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card,6 days ago,"Frisco, TX"
81,CINQCARE,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-cinqcare-3787785219?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=jJYZh06%2BESuFSD9A%2B5nlcQ%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,"Washington, DC"
82,"McIntire Solutions, LLC",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-mcintire-solutions-llc-3787748022?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=2wEfCdez86ZegoJ5jOcXsQ%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,"Springfield, VA"
83,HireKeyz Inc,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-hirekeyz-inc-3783154507?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=7Yolc8Cqg6dztswv3QgQ1Q%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,"Jersey City, NJ"
84,SynergisticIT,Entry Level/ Junior Level Data Scientist (Remote),https://www.linkedin.com/jobs/view/entry-level-junior-level-data-scientist-remote-at-synergisticit-3767588950?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=BW9xnm3vZS04ZD34dbSzNw%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card,6 days ago,"Los Angeles, CA"
85,Xpanse,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-xpanse-3780010143?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=nIRgZFVmT6sEbvqVydpiGA%3D%3D&position=14&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,United States
86,Brooksource,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-brooksource-3774010984?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=OLEXkS6bd3AG6lMY13yLYg%3D%3D&position=15&pageNum=3&trk=public_jobs_jserp-result_search-card,6 days ago,"Morris Plains, NJ"
87,Charter Global,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-charter-global-3776601713?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=vWFcPhEqNFMTVRQIjFieZA%3D%3D&position=16&pageNum=3&trk=public_jobs_jserp-result_search-card,3 weeks ago,United States
88,Acclaim Technical Services,Senior Data Scientist (2022-0259),https://www.linkedin.com/jobs/view/senior-data-scientist-2022-0259-at-acclaim-technical-services-3787778079?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=HZxstNU7fxbdaYCPYyxd2w%3D%3D&position=17&pageNum=3&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Chantilly, VA"
89,"Pyramid Consulting, Inc",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-pyramid-consulting-inc-3778742973?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=L123%2Fxbzh1mGcPxt88q1wg%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,"Jersey City, NJ"
90,Glocomms,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-glocomms-3785728248?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=ArRODGwRCFWq%2FUH7%2F%2BqlLA%3D%3D&position=19&pageNum=3&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Austin, Texas Metropolitan Area"
91,"IDR, Inc.",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-idr-inc-3778823812?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=i3EZvh4xZb7nUeE2eIvZSA%3D%3D&position=20&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,Dallas-Fort Worth Metroplex
92,"Catalyst Technical Consulting Group, LLC",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-catalyst-technical-consulting-group-llc-3788049104?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=jgOIAKZt5Od78KdbzwUTmg%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card,6 days ago,"Fort Meade, MD"
93,Spherix Global Insights,"Data Scientist (Hybrid- Exton, PA)",https://www.linkedin.com/jobs/view/data-scientist-hybrid-exton-pa-at-spherix-global-insights-3787798881?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=9lmw%2FgVQU%2BGj0xHIPqEYiw%3D%3D&position=22&pageNum=3&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Exton, PA"
94,INSPYR Solutions,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-inspyr-solutions-3784273317?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=xMOE0ZF2vnaYK6DJEY1Fxw%3D%3D&position=23&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,"Orlando, FL"
95,Acclaim Technical Services,"Data Scientist, Level 2 (2023-0232)",https://www.linkedin.com/jobs/view/data-scientist-level-2-2023-0232-at-acclaim-technical-services-3787774518?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=aa1pkSbY4LfHO%2Bq%2F5bgI8g%3D%3D&position=24&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,"Annapolis Junction, MD"
96,Experfy,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-experfy-3787317722?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=%2FDoq9DIRSJcrNRfQGhgrBQ%3D%3D&position=25&pageNum=3&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Texas City, TX"
97,Links Technology Solutions,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-links-technology-solutions-3779304002?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=OwG11nzi8pIVDLbIvV03Jg%3D%3D&position=1&pageNum=4&trk=public_jobs_jserp-result_search-card,1 day ago,"Tarrytown, NY"
98,"Pinnacle Group, Inc.",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-pinnacle-group-inc-3787392082?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=Kr5j8Xw9kMFtYwHSAA%2BSAQ%3D%3D&position=2&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,"Irving, TX"
99,MarketBridge,Data Scientist - Marketing Analytics,https://www.linkedin.com/jobs/view/data-scientist-marketing-analytics-at-marketbridge-3787791426?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=xcPJg2PLXsLlyYnxcLPVBg%3D%3D&position=3&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,"Washington, DC"
100,Oscar,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-oscar-3784586587?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=4H1qFb6dAHxV89yNeeJjYA%3D%3D&position=4&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,United States
101,CODAMETRIX,Data Scientist III (Applied Research),https://www.linkedin.com/jobs/view/data-scientist-iii-applied-research-at-codametrix-3787780742?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=NgaXTuLjY4Cwy%2FILG51DSA%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Boston, MA"
102,SynergisticIT,Entry Level Data Scientist (Remote),https://www.linkedin.com/jobs/view/entry-level-data-scientist-remote-at-synergisticit-3767597245?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=xMrs2pGKiWYgD03x%2FI%2FPng%3D%3D&position=6&pageNum=4&trk=public_jobs_jserp-result_search-card,1 day ago,"Jersey City, NJ"
103,"Kelly Science, Engineering, Technology & Telecom",Data Scientist- Contract-to-Hire - Remote,https://www.linkedin.com/jobs/view/data-scientist-contract-to-hire-remote-at-kelly-science-engineering-technology-telecom-3769048790?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=7N9MDJsGUZJURZzJi0zamQ%3D%3D&position=7&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,United States
104,Artemis Consultants,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-artemis-consultants-3783134322?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=2H8PtGKjyzUb%2FT1sSUMEHg%3D%3D&position=8&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,United States
105,Bay Area Environmental Research Institute,Machine Learning Data Scientist,https://www.linkedin.com/jobs/view/machine-learning-data-scientist-at-bay-area-environmental-research-institute-3779091137?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=CI50cu34o01znHz1EsHm%2BA%3D%3D&position=9&pageNum=4&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Mountain View, CA"
106,Google,Business Data Scientist,https://www.linkedin.com/jobs/view/business-data-scientist-at-google-3783156752?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=791MYlNLT56teRd00fLu1A%3D%3D&position=10&pageNum=4&trk=public_jobs_jserp-result_search-card,4 days ago,"Chicago, IL"
107,Centripetal,Cyber Data Scientist,https://www.linkedin.com/jobs/view/cyber-data-scientist-at-centripetal-3787719894?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=nN%2FNasTHts4Cdo2WPQWU9w%3D%3D&position=11&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,"Portsmouth, NH"
108,EVONA,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-evona-3774713473?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=k1s9FyYPdtFxF%2FMnVDxV2A%3D%3D&position=12&pageNum=4&trk=public_jobs_jserp-result_search-card,6 days ago,"San Diego, CA"
109,Machina Labs,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-machina-labs-3780029332?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=yOHVXEcCh5IPLTbsXSRuAQ%3D%3D&position=13&pageNum=4&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Los Angeles, CA"
110,Recurring Decimal,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-recurring-decimal-3782252731?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=0HyyG6Dg2pVs4dKeASZkMA%3D%3D&position=14&pageNum=4&trk=public_jobs_jserp-result_search-card,2 weeks ago,United States
111,Putnam Recruiting Group,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-putnam-recruiting-group-3779279310?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=lAYLyc6Wcb7plsFmxf7E8A%3D%3D&position=15&pageNum=4&trk=public_jobs_jserp-result_search-card,3 weeks ago,Los Angeles Metropolitan Area
112,Airbnb,"Senior Data Scientist - Inference, Pricing",https://www.linkedin.com/jobs/view/senior-data-scientist-inference-pricing-at-airbnb-3786149549?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=9tCgYZ80hX5n5Ic%2FVFNQlQ%3D%3D&position=16&pageNum=4&trk=public_jobs_jserp-result_search-card,2 weeks ago,United States
113,PREDICTif Solutions,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-predictif-solutions-3778853630?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=HtGNwZV2qktjTdArRHIglw%3D%3D&position=17&pageNum=4&trk=public_jobs_jserp-result_search-card,6 days ago,"Texas, United States"
114,Robert Half,Data Scientist/Data Analyst,https://www.linkedin.com/jobs/view/data-scientist-data-analyst-at-robert-half-3780007042?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=W2LdQwLwKAPC%2B4RchKw4FQ%3D%3D&position=18&pageNum=4&trk=public_jobs_jserp-result_search-card,1 day ago,"San Francisco, CA"
115,"Surya Systems, Inc",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-surya-systems-inc-3782264637?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=3fyOmBatQOlDDZK8MSaakQ%3D%3D&position=19&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,"San Francisco, CA"
116,EVONA,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-evona-3774714235?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=BVxH61crHjkTABtxpx4k2Q%3D%3D&position=20&pageNum=4&trk=public_jobs_jserp-result_search-card,3 weeks ago,"San Diego, CA"
117,Netflix,Data Scientist (L5) - Ad-Member Interactions,https://www.linkedin.com/jobs/view/data-scientist-l5-ad-member-interactions-at-netflix-3775811551?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=Wqumq3J8f1UN505ZXGg1QA%3D%3D&position=21&pageNum=4&trk=public_jobs_jserp-result_search-card,6 days ago,"Los Gatos, CA"
118,Old Republic Professional,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-old-republic-professional-3786745720?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=kzNZN14Csqh4DhLLFb2Gig%3D%3D&position=22&pageNum=4&trk=public_jobs_jserp-result_search-card,1 day ago,"Chicago, IL"
119,ClosedLoop,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-closedloop-3791578033?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=1FpkZ9j3kt%2B%2BGBaBI3bUGQ%3D%3D&position=23&pageNum=4&trk=public_jobs_jserp-result_search-card,6 days ago,"Austin, TX"
120,Lever Middleware Test Company 2,AI Engineer,https://www.linkedin.com/jobs/view/ai-engineer-at-lever-middleware-test-company-2-3787339229?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=hLShQ7WD%2FbA1j%2B9%2B1uWyYw%3D%3D&position=24&pageNum=4&trk=public_jobs_jserp-result_search-card,6 days ago,"San Francisco, CA"
121,"Octo, an IBM Company",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-octo-an-ibm-company-3783820134?refId=McgbNeDIbHVI98UoGFxwww%3D%3D&trackingId=S7xuDDUm8q0U%2BOyRWjqGIA%3D%3D&position=25&pageNum=4&trk=public_jobs_jserp-result_search-card,6 days ago,"Reston, VA"
122,Stealth Startup,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-stealth-startup-3777303690?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=vn31VbYjIitI%2F3SG%2BsuP7g%3D%3D&position=1&pageNum=5&trk=public_jobs_jserp-result_search-card,1 week ago,United States
123,CitiusTech,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-citiustech-3787076693?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=vZoPxDO4IjA%2BOyIy0qhNvA%3D%3D&position=2&pageNum=5&trk=public_jobs_jserp-result_search-card,1 week ago,United States
124,Airbnb,Staff Data Scientist - Policy & Economics,https://www.linkedin.com/jobs/view/staff-data-scientist-policy-economics-at-airbnb-3777399533?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=xqVsZuI6ZPMKilNk%2FKIKxw%3D%3D&position=3&pageNum=5&trk=public_jobs_jserp-result_search-card,2 weeks ago,United States
125,Analytica,Senior Data Scientist,https://www.linkedin.com/jobs/view/senior-data-scientist-at-analytica-3787917234?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=HJrJYukERovjQnHc0rxKcw%3D%3D&position=4&pageNum=5&trk=public_jobs_jserp-result_search-card,6 days ago,"Washington, DC"
126,Optomi,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-optomi-3776649326?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=8KKNAZWnTp50zUMH%2Ff6OCg%3D%3D&position=5&pageNum=5&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Atlanta, GA"
127,The Doctors Company,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-the-doctors-company-3792420904?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=waN%2FOW39UHtMDtytojiXOA%3D%3D&position=6&pageNum=5&trk=public_jobs_jserp-result_search-card,2 weeks ago,"New York, NY"
128,"Inventory Locator Service,® LLC",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-inventory-locator-service-%C2%AE-llc-3778591618?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=viRhVBsCXvA7EJ8iCtjrig%3D%3D&position=7&pageNum=5&trk=public_jobs_jserp-result_search-card,6 days ago,Memphis Metropolitan Area
129,SynergisticIT,Entry Level Data Scientist (Remote),https://www.linkedin.com/jobs/view/entry-level-data-scientist-remote-at-synergisticit-3767590837?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=41a7YnkRQZZeYxfhZK3zZw%3D%3D&position=8&pageNum=5&trk=public_jobs_jserp-result_search-card,1 week ago,"New York, NY"
130,Stellar Cyber,Machine Learning Engineer/Researcher,https://www.linkedin.com/jobs/view/machine-learning-engineer-researcher-at-stellar-cyber-3782585294?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=VPLHgAs4r45n3duIWYugrw%3D%3D&position=9&pageNum=5&trk=public_jobs_jserp-result_search-card,1 day ago,United States
131,Archetype Permanent Solutions,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-archetype-permanent-solutions-3787919061?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=kBWF58%2FgTmqdUAVYW1LTiQ%3D%3D&position=10&pageNum=5&trk=public_jobs_jserp-result_search-card,1 week ago,"Houston, TX"
132,Dev10,Dev10 Entry Level Software Developer - Nationwide,https://www.linkedin.com/jobs/view/dev10-entry-level-software-developer-nationwide-at-dev10-3789951023?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=l9nIfcpRn1cbtdxK4wjTYw%3D%3D&position=11&pageNum=5&trk=public_jobs_jserp-result_search-card,6 days ago,"Charlotte, NC"
133,ADP,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-adp-3785758671?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=Q8ZxXvxFeynIglEbC27umA%3D%3D&position=12&pageNum=5&trk=public_jobs_jserp-result_search-card,4 days ago,"New York, NY"
134,SynergisticIT,Entry Level Data Scientist (Remote),https://www.linkedin.com/jobs/view/entry-level-data-scientist-remote-at-synergisticit-3767592690?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=RPrquW%2F6r8462bGsypBVwQ%3D%3D&position=13&pageNum=5&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Orlando, FL"
135,Archetype Permanent Solutions,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-archetype-permanent-solutions-3787912756?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=XnbnWtyJmprkfR06NpxFZg%3D%3D&position=14&pageNum=5&trk=public_jobs_jserp-result_search-card,6 days ago,"Dallas, TX"
136,Meta,"Data Scientist, GBG Data Science",https://www.linkedin.com/jobs/view/data-scientist-gbg-data-science-at-meta-3775546258?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=ooNUUQaX9ZJSorZmFzwC6g%3D%3D&position=15&pageNum=5&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Austin, TX"
137,GliaCell Technologies,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-gliacell-technologies-3787752752?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=kfCJl%2Bgt3I08x%2FjOB%2B06vA%3D%3D&position=16&pageNum=5&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Annapolis Junction, MD"
138,Archetype Permanent Solutions,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-archetype-permanent-solutions-3787919070?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=XBtM%2B%2B4y4UHrP%2FIRqYKMPA%3D%3D&position=17&pageNum=5&trk=public_jobs_jserp-result_search-card,1 week ago,"San Antonio, TX"
139,Archetype Permanent Solutions,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-archetype-permanent-solutions-3787910756?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=QHx2wHyNbyRYJ96pBQ8i7Q%3D%3D&position=18&pageNum=5&trk=public_jobs_jserp-result_search-card,1 day ago,"Fort Worth, TX"
140,Cash App,"Decision Scientist, Fraud Risk - Afterpay",https://www.linkedin.com/jobs/view/decision-scientist-fraud-risk-afterpay-at-cash-app-3784942039?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=fyskQfQQ%2FJhprCt1MqLxSg%3D%3D&position=19&pageNum=5&trk=public_jobs_jserp-result_search-card,1 week ago,"San Francisco, CA"
141,BeaconFire Inc.,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-beaconfire-inc-3784573122?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=rQ%2BFmACnoRDzGMUtzjBQSA%3D%3D&position=20&pageNum=5&trk=public_jobs_jserp-result_search-card,1 week ago,"Austin, TX"
142,USAJOBS,DATA SCIENTIST,https://www.linkedin.com/jobs/view/data-scientist-at-usajobs-3790642268?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=RGAVmO6j6%2BLg5ALRBwreaQ%3D%3D&position=21&pageNum=5&trk=public_jobs_jserp-result_search-card,1 week ago,"Wallops Island, VA"
143,Steneral Consulting,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-steneral-consulting-3779885092?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=8sMhqj2Mw4Za8rWGO9ntcA%3D%3D&position=22&pageNum=5&trk=public_jobs_jserp-result_search-card,1 week ago,"Chicago, IL"
144,Moveworks,Machine Learning Engineer Intern - NLU & ML Infra,https://www.linkedin.com/jobs/view/machine-learning-engineer-intern-nlu-ml-infra-at-moveworks-3792404577?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=pah%2FcUXuT7d9VgyTcLN1ww%3D%3D&position=23&pageNum=5&trk=public_jobs_jserp-result_search-card,1 week ago,"Mountain View, CA"
145,Archetype Permanent Solutions,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-archetype-permanent-solutions-3787916075?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=0zTr0XsBwV3Rjq7THxjZxg%3D%3D&position=24&pageNum=5&trk=public_jobs_jserp-result_search-card,1 week ago,"El Paso, TX"
146,InterEx Group,Sr Data Scientist,https://www.linkedin.com/jobs/view/sr-data-scientist-at-interex-group-3778206971?refId=%2FH2pdcJl5QiHefk2p0CV9w%3D%3D&trackingId=JXQdVDIzxWCieh9eW5yBIQ%3D%3D&position=25&pageNum=5&trk=public_jobs_jserp-result_search-card,2 weeks ago,"New York, United States"
147,SilverEdge,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-silveredge-3780544864?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=VW3Pr3wA%2FIM%2FaE0b1rVKjA%3D%3D&position=1&pageNum=6&trk=public_jobs_jserp-result_search-card,1 day ago,"Chantilly, VA"
148,Hirewell,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-hirewell-3786742326?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=djRk2L3I7ANBYfhNTdPKow%3D%3D&position=2&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,United States
149,"Omega Solutions, Inc.",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-omega-solutions-inc-3782829155?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=1Kg6W3kpYidVt1iDiMpJ2w%3D%3D&position=3&pageNum=6&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Austin, TX"
150,Middesk,Data Scientist (Algorithms),https://www.linkedin.com/jobs/view/data-scientist-algorithms-at-middesk-3785893357?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=LWiEP4rYilMrY8YmkJQ8og%3D%3D&position=4&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,"New York, United States"
151,Dev10,Dev10 Entry Level Software Developer - Nationwide,https://www.linkedin.com/jobs/view/dev10-entry-level-software-developer-nationwide-at-dev10-3789950033?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=afYab%2BVe0oBDMeEvignIBQ%3D%3D&position=5&pageNum=6&trk=public_jobs_jserp-result_search-card,2 weeks ago,"New York, NY"
152,Oden Technologies,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-oden-technologies-3786588998?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=Tgub12Ek5i%2BRM%2FjqZDQrUA%3D%3D&position=6&pageNum=6&trk=public_jobs_jserp-result_search-card,3 weeks ago,"New York, NY"
153,Archetype Permanent Solutions,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-archetype-permanent-solutions-3787916377?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=zGpEbcDfZL2IX4ZRYQL9Tg%3D%3D&position=7&pageNum=6&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Austin, TX"
154,Lingopal,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-lingopal-3777004799?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=A%2F5rzEghZAPP7CJgIoXx4Q%3D%3D&position=8&pageNum=6&trk=public_jobs_jserp-result_search-card,2 weeks ago,"New York, NY"
155,Mission Essential,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-mission-essential-3769540940?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=Qye98vRj%2FUU5gWzOHnCJHw%3D%3D&position=9&pageNum=6&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Suitland, MD"
156,tallywell,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-tallywell-3787559985?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=C2RxMnWF1EZgXU4F%2BXqWeg%3D%3D&position=10&pageNum=6&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Philadelphia, PA"
157,Glocomms,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-glocomms-3778305522?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=Y1nnpzJuJmZVQbNKpHTTaA%3D%3D&position=11&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,"Atlanta, GA"
