,Company,Title,link,Requirement since,location
18,Tential Solutions,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-tential-solutions-3778309184?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=TinqRsxoLeaMqqlOlYSoHA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago,United States
19,Opensignal,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-opensignal-3791878817?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=JwG6uyM7iTH2Mt6hvM3ALw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,United States
20,Park National Bank,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-park-national-bank-3776603722?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=fjjn%2FRk3C4054vM66yPCYQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,"Newark, OH"
21,Sky Consulting Inc.,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-sky-consulting-inc-3779267497?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=P6%2BmEebpaM9ZSXmzVIHGlg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Washington, DC"
22,Snap Inc.,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-snap-inc-3787714993?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=VyPeO7aCcMddlMs2KqZrNw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,"Los Angeles, CA"
23,LeanDNA,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-leandna-3776150501?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=EAIVtsdQai4aiT6eZHrtXQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,"Austin, TX"
24,SMKSoft Inc,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-smksoft-inc-3792114064?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=2Ab%2FSu3fq%2B50rEdjlvrmvQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago,Washington DC-Baltimore Area
25,Erie Home,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-erie-home-3776115459?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=R1VE5EOk5xS2SJ8Eyxpvwg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Toledo, Ohio Metropolitan Area"
26,Hunter Bond,"Data Scientist - Up to $150,000 + Huge Bonus + Package",https://www.linkedin.com/jobs/view/data-scientist-up-to-%24150-000-%2B-huge-bonus-%2B-package-at-hunter-bond-3784570993?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=tEKPtINEHdOo3uYSHDgZDw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,"Houston, TX"
27,Avery Dennison,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-avery-dennison-3784210727?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=56JaPpuSg2yfCb3qnABCvA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,"Mentor, OH"
